full_name,name,owner,stars,forks,language,created_at,updated_at,url
EbookFoundation/free-programming-books,free-programming-books,EbookFoundation,372063,64680,Python,2013-10-11T06:50:37Z,2025-10-09T22:05:26Z,https://github.com/EbookFoundation/free-programming-books
public-apis/public-apis,public-apis,public-apis,367961,38720,Python,2016-03-20T23:49:42Z,2025-10-09T21:48:46Z,https://github.com/public-apis/public-apis
donnemartin/system-design-primer,system-design-primer,donnemartin,322377,52609,Python,2017-02-26T16:15:28Z,2025-10-09T21:52:09Z,https://github.com/donnemartin/system-design-primer
vinta/awesome-python,awesome-python,vinta,263400,26408,Python,2014-06-27T21:00:06Z,2025-10-09T22:03:32Z,https://github.com/vinta/awesome-python
TheAlgorithms/Python,Python,TheAlgorithms,210418,48558,Python,2016-07-16T09:44:01Z,2025-10-09T21:44:15Z,https://github.com/TheAlgorithms/Python
Significant-Gravitas/AutoGPT,AutoGPT,Significant-Gravitas,178901,46012,Python,2023-03-16T09:21:07Z,2025-10-09T20:05:32Z,https://github.com/Significant-Gravitas/AutoGPT
AUTOMATIC1111/stable-diffusion-webui,stable-diffusion-webui,AUTOMATIC1111,157157,29166,Python,2022-08-22T14:05:26Z,2025-10-09T20:39:15Z,https://github.com/AUTOMATIC1111/stable-diffusion-webui
huggingface/transformers,transformers,huggingface,150816,30705,Python,2018-10-29T13:56:00Z,2025-10-09T21:35:45Z,https://github.com/huggingface/transformers
ytdl-org/youtube-dl,youtube-dl,ytdl-org,138298,10513,Python,2010-10-31T14:35:07Z,2025-10-09T17:47:01Z,https://github.com/ytdl-org/youtube-dl
langflow-ai/langflow,langflow,langflow-ai,130329,7762,Python,2023-02-08T22:28:03Z,2025-10-09T22:06:33Z,https://github.com/langflow-ai/langflow
521xueweihan/HelloGitHub,HelloGitHub,521xueweihan,130288,10773,Python,2016-05-04T06:24:11Z,2025-10-09T21:07:29Z,https://github.com/521xueweihan/HelloGitHub
yt-dlp/yt-dlp,yt-dlp,yt-dlp,130059,10437,Python,2020-10-26T04:22:55Z,2025-10-09T21:42:17Z,https://github.com/yt-dlp/yt-dlp
langchain-ai/langchain,langchain,langchain-ai,116897,19237,Python,2022-10-17T02:58:36Z,2025-10-09T21:51:37Z,https://github.com/langchain-ai/langchain
deepseek-ai/DeepSeek-V3,DeepSeek-V3,deepseek-ai,99595,16277,Python,2024-12-26T09:52:40Z,2025-10-09T21:21:32Z,https://github.com/deepseek-ai/DeepSeek-V3
nvbn/thefuck,thefuck,nvbn,94272,3776,Python,2015-04-08T15:08:04Z,2025-10-09T21:01:59Z,https://github.com/nvbn/thefuck
pytorch/pytorch,pytorch,pytorch,93794,25508,Python,2016-08-13T05:26:41Z,2025-10-09T21:59:39Z,https://github.com/pytorch/pytorch
fastapi/fastapi,fastapi,fastapi,90547,8019,Python,2018-12-08T08:21:47Z,2025-10-09T22:05:30Z,https://github.com/fastapi/fastapi
comfyanonymous/ComfyUI,ComfyUI,comfyanonymous,90528,10126,Python,2023-01-17T03:15:56Z,2025-10-09T21:41:17Z,https://github.com/comfyanonymous/ComfyUI
openai/whisper,whisper,openai,89163,11128,Python,2022-09-16T20:02:54Z,2025-10-09T21:25:14Z,https://github.com/openai/whisper
django/django,django,django,85355,33068,Python,2012-04-28T02:47:18Z,2025-10-09T22:05:32Z,https://github.com/django/django
home-assistant/core,core,home-assistant,81853,35446,Python,2013-09-17T07:29:48Z,2025-10-09T21:15:03Z,https://github.com/home-assistant/core
3b1b/manim,manim,3b1b,81077,6890,Python,2015-03-22T18:50:58Z,2025-10-09T20:32:33Z,https://github.com/3b1b/manim
microsoft/markitdown,markitdown,microsoft,80699,4472,Python,2024-11-13T19:56:40Z,2025-10-09T20:56:11Z,https://github.com/microsoft/markitdown
bregman-arie/devops-exercises,devops-exercises,bregman-arie,79276,17919,Python,2019-10-03T17:31:21Z,2025-10-09T21:14:29Z,https://github.com/bregman-arie/devops-exercises
tensorflow/models,models,tensorflow,77640,45459,Python,2016-02-05T01:15:20Z,2025-10-09T19:23:28Z,https://github.com/tensorflow/models
fighting41love/funNLP,funNLP,fighting41love,76457,15018,Python,2018-08-21T11:20:39Z,2025-10-09T18:23:12Z,https://github.com/fighting41love/funNLP
hacksider/Deep-Live-Cam,Deep-Live-Cam,hacksider,73917,10770,Python,2023-09-24T13:19:31Z,2025-10-09T21:23:00Z,https://github.com/hacksider/Deep-Live-Cam
d2l-ai/d2l-zh,d2l-zh,d2l-ai,72921,11921,Python,2017-08-23T04:40:24Z,2025-10-09T17:51:28Z,https://github.com/d2l-ai/d2l-zh
Shubhamsaboo/awesome-llm-apps,awesome-llm-apps,Shubhamsaboo,71508,9201,Python,2024-04-29T05:30:25Z,2025-10-09T21:54:13Z,https://github.com/Shubhamsaboo/awesome-llm-apps
browser-use/browser-use,browser-use,browser-use,70999,8366,Python,2024-10-31T16:00:56Z,2025-10-09T20:01:14Z,https://github.com/browser-use/browser-use
abi/screenshot-to-code,screenshot-to-code,abi,70956,8793,Python,2023-11-14T17:53:32Z,2025-10-09T17:36:34Z,https://github.com/abi/screenshot-to-code
swisskyrepo/PayloadsAllTheThings,PayloadsAllTheThings,swisskyrepo,70689,16050,Python,2016-10-18T07:29:07Z,2025-10-09T21:43:05Z,https://github.com/swisskyrepo/PayloadsAllTheThings
pallets/flask,flask,pallets,70519,16554,Python,2010-04-06T11:11:59Z,2025-10-09T22:05:31Z,https://github.com/pallets/flask
josephmisiti/awesome-machine-learning,awesome-machine-learning,josephmisiti,70080,15104,Python,2014-07-15T19:11:19Z,2025-10-09T21:27:26Z,https://github.com/josephmisiti/awesome-machine-learning
sherlock-project/sherlock,sherlock,sherlock-project,69336,8097,Python,2018-12-24T14:30:48Z,2025-10-09T20:28:29Z,https://github.com/sherlock-project/sherlock
binary-husky/gpt_academic,gpt_academic,binary-husky,69308,8374,Python,2023-03-20T09:05:13Z,2025-10-09T15:50:01Z,https://github.com/binary-husky/gpt_academic
python/cpython,cpython,python,69248,33047,Python,2017-02-10T19:23:51Z,2025-10-09T22:05:06Z,https://github.com/python/cpython
Alvin9999/new-pac,new-pac,Alvin9999,69236,10406,Python,2016-03-23T08:43:36Z,2025-10-09T22:02:11Z,https://github.com/Alvin9999/new-pac
ansible/ansible,ansible,ansible,66692,24106,Python,2012-03-06T14:58:02Z,2025-10-09T22:03:34Z,https://github.com/ansible/ansible
xtekky/gpt4free,gpt4free,xtekky,65392,13704,Python,2023-03-29T17:00:43Z,2025-10-09T21:05:55Z,https://github.com/xtekky/gpt4free
All-Hands-AI/OpenHands,OpenHands,All-Hands-AI,64054,7748,Python,2024-03-13T03:33:31Z,2025-10-09T21:16:45Z,https://github.com/All-Hands-AI/OpenHands
scikit-learn/scikit-learn,scikit-learn,scikit-learn,63614,26310,Python,2010-08-17T09:43:38Z,2025-10-09T21:16:02Z,https://github.com/scikit-learn/scikit-learn
keras-team/keras,keras,keras-team,63464,19625,Python,2015-03-28T00:35:42Z,2025-10-09T20:10:08Z,https://github.com/keras-team/keras
labmlai/annotated_deep_learning_paper_implementations,annotated_deep_learning_paper_implementations,labmlai,63454,6419,Python,2020-08-25T02:29:34Z,2025-10-09T21:04:24Z,https://github.com/labmlai/annotated_deep_learning_paper_implementations
localstack/localstack,localstack,localstack,60770,4265,Python,2016-10-25T23:48:03Z,2025-10-09T20:33:26Z,https://github.com/localstack/localstack
openinterpreter/open-interpreter,open-interpreter,openinterpreter,60612,5198,Python,2023-07-14T07:10:44Z,2025-10-09T21:30:35Z,https://github.com/openinterpreter/open-interpreter
hiyouga/LLaMA-Factory,LLaMA-Factory,hiyouga,59875,7343,Python,2023-05-28T10:09:12Z,2025-10-09T20:58:21Z,https://github.com/hiyouga/LLaMA-Factory
vllm-project/vllm,vllm,vllm-project,59712,10586,Python,2023-02-09T11:23:20Z,2025-10-09T21:46:54Z,https://github.com/vllm-project/vllm
FoundationAgents/MetaGPT,MetaGPT,FoundationAgents,58843,7130,Python,2023-06-30T09:04:55Z,2025-10-09T21:56:32Z,https://github.com/FoundationAgents/MetaGPT
meta-llama/llama,llama,meta-llama,58806,9806,Python,2023-02-14T09:29:12Z,2025-10-09T21:25:46Z,https://github.com/meta-llama/llama
scrapy/scrapy,scrapy,scrapy,58535,11096,Python,2010-02-22T02:01:14Z,2025-10-09T20:24:36Z,https://github.com/scrapy/scrapy
commaai/openpilot,openpilot,commaai,58292,10297,Python,2016-11-24T01:33:30Z,2025-10-09T22:05:30Z,https://github.com/commaai/openpilot
CorentinJ/Real-Time-Voice-Cloning,Real-Time-Voice-Cloning,CorentinJ,58218,9329,Python,2019-05-26T08:56:15Z,2025-10-09T22:05:40Z,https://github.com/CorentinJ/Real-Time-Voice-Cloning
PaddlePaddle/PaddleOCR,PaddleOCR,PaddlePaddle,56846,8822,Python,2020-05-08T10:38:16Z,2025-10-09T21:23:56Z,https://github.com/PaddlePaddle/PaddleOCR
zylon-ai/private-gpt,private-gpt,zylon-ai,56620,7577,Python,2023-05-02T09:15:31Z,2025-10-09T09:42:01Z,https://github.com/zylon-ai/private-gpt
soimort/you-get,you-get,soimort,56461,9805,Python,2012-08-20T15:53:36Z,2025-10-09T11:59:36Z,https://github.com/soimort/you-get
ultralytics/yolov5,yolov5,ultralytics,55585,17226,Python,2020-05-18T03:45:11Z,2025-10-09T19:49:30Z,https://github.com/ultralytics/yolov5
ageitgey/face_recognition,face_recognition,ageitgey,55544,13687,Python,2017-03-03T21:52:39Z,2025-10-09T17:51:17Z,https://github.com/ageitgey/face_recognition
AntonOsika/gpt-engineer,gpt-engineer,AntonOsika,54929,7313,Python,2023-04-29T12:52:15Z,2025-10-09T16:33:49Z,https://github.com/AntonOsika/gpt-engineer
deepfakes/faceswap,faceswap,deepfakes,54557,13413,Python,2017-12-19T09:44:13Z,2025-10-09T20:39:02Z,https://github.com/deepfakes/faceswap
unclecode/crawl4ai,crawl4ai,unclecode,54371,5420,Python,2024-05-09T09:48:50Z,2025-10-09T21:57:37Z,https://github.com/unclecode/crawl4ai
Textualize/rich,rich,Textualize,53995,1901,Python,2019-11-10T15:28:09Z,2025-10-09T20:50:48Z,https://github.com/Textualize/rich
Z4nzu/hackingtool,hackingtool,Z4nzu,53706,5819,Python,2020-04-11T09:21:31Z,2025-10-09T21:46:42Z,https://github.com/Z4nzu/hackingtool
psf/requests,requests,psf,53350,9547,Python,2011-02-13T18:38:17Z,2025-10-09T21:26:29Z,https://github.com/psf/requests
OpenBB-finance/OpenBB,OpenBB,OpenBB-finance,53064,5084,Python,2020-12-20T10:46:38Z,2025-10-09T19:09:45Z,https://github.com/OpenBB-finance/OpenBB
RVC-Boss/GPT-SoVITS,GPT-SoVITS,RVC-Boss,51419,5654,Python,2024-01-14T18:05:21Z,2025-10-09T20:43:42Z,https://github.com/RVC-Boss/GPT-SoVITS
Asabeneh/30-Days-Of-Python,30-Days-Of-Python,Asabeneh,51035,9710,Python,2019-11-19T17:24:16Z,2025-10-09T21:27:35Z,https://github.com/Asabeneh/30-Days-Of-Python
microsoft/autogen,autogen,microsoft,50598,7731,Python,2023-08-18T11:43:45Z,2025-10-09T19:30:37Z,https://github.com/microsoft/autogen
xai-org/grok-1,grok-1,xai-org,50527,8375,Python,2024-03-17T08:53:38Z,2025-10-09T12:54:33Z,https://github.com/xai-org/grok-1
FoundationAgents/OpenManus,OpenManus,FoundationAgents,50195,8794,Python,2025-03-06T14:08:14Z,2025-10-09T20:48:35Z,https://github.com/FoundationAgents/OpenManus
charlax/professional-programming,professional-programming,charlax,49396,3900,Python,2015-11-07T05:07:52Z,2025-10-09T20:29:03Z,https://github.com/charlax/professional-programming
minimaxir/big-list-of-naughty-strings,big-list-of-naughty-strings,minimaxir,47446,2160,Python,2015-08-08T20:57:20Z,2025-10-09T21:08:10Z,https://github.com/minimaxir/big-list-of-naughty-strings
ultralytics/ultralytics,ultralytics,ultralytics,47044,9102,Python,2022-09-11T16:39:45Z,2025-10-09T20:11:07Z,https://github.com/ultralytics/ultralytics
pandas-dev/pandas,pandas,pandas-dev,46781,19097,Python,2010-08-24T01:37:33Z,2025-10-09T21:58:43Z,https://github.com/pandas-dev/pandas
unslothai/unsloth,unsloth,unslothai,46751,3818,Python,2023-11-29T16:50:09Z,2025-10-09T21:58:23Z,https://github.com/unslothai/unsloth
lllyasviel/Fooocus,Fooocus,lllyasviel,46748,7530,Python,2023-08-09T18:43:40Z,2025-10-09T21:16:17Z,https://github.com/lllyasviel/Fooocus
odoo/odoo,odoo,odoo,46525,29944,Python,2014-05-13T15:38:58Z,2025-10-09T21:58:22Z,https://github.com/odoo/odoo
harry0703/MoneyPrinterTurbo,MoneyPrinterTurbo,harry0703,45958,6435,Python,2024-03-11T02:57:34Z,2025-10-09T19:45:30Z,https://github.com/harry0703/MoneyPrinterTurbo
pathwaycom/pathway,pathway,pathwaycom,45907,1395,Python,2022-11-27T13:01:14Z,2025-10-09T21:16:35Z,https://github.com/pathwaycom/pathway
opendatalab/MinerU,MinerU,opendatalab,45503,3778,Python,2024-02-29T08:52:34Z,2025-10-09T20:58:32Z,https://github.com/opendatalab/MinerU
oobabooga/text-generation-webui,text-generation-webui,oobabooga,45130,5808,Python,2022-12-21T04:17:37Z,2025-10-09T21:46:46Z,https://github.com/oobabooga/text-generation-webui
karpathy/nanoGPT,nanoGPT,karpathy,44911,7654,Python,2022-12-28T00:51:12Z,2025-10-09T21:19:42Z,https://github.com/karpathy/nanoGPT
run-llama/llama_index,llama_index,run-llama,44648,6429,Python,2022-11-02T04:24:54Z,2025-10-09T21:16:28Z,https://github.com/run-llama/llama_index
freqtrade/freqtrade,freqtrade,freqtrade,43445,8836,Python,2017-05-17T23:48:53Z,2025-10-09T21:50:22Z,https://github.com/freqtrade/freqtrade
coqui-ai/TTS,TTS,coqui-ai,42927,5679,Python,2020-05-20T15:45:28Z,2025-10-09T21:24:01Z,https://github.com/coqui-ai/TTS
apache/airflow,airflow,apache,42730,15759,Python,2015-04-13T18:04:58Z,2025-10-09T21:47:23Z,https://github.com/apache/airflow
faif/python-patterns,python-patterns,faif,42243,7048,Python,2012-06-06T21:02:35Z,2025-10-09T19:33:16Z,https://github.com/faif/python-patterns
getsentry/sentry,sentry,getsentry,42172,4467,Python,2010-08-30T22:06:41Z,2025-10-09T22:00:10Z,https://github.com/getsentry/sentry
Stability-AI/stablediffusion,stablediffusion,Stability-AI,41831,5333,Python,2022-11-23T23:59:50Z,2025-10-09T16:33:36Z,https://github.com/Stability-AI/stablediffusion
streamlit/streamlit,streamlit,streamlit,41722,3783,Python,2019-08-24T00:14:52Z,2025-10-09T20:16:15Z,https://github.com/streamlit/streamlit
virattt/ai-hedge-fund,ai-hedge-fund,virattt,41720,7357,Python,2024-11-29T16:30:01Z,2025-10-09T21:11:04Z,https://github.com/virattt/ai-hedge-fund
mingrammer/diagrams,diagrams,mingrammer,41587,2681,Python,2020-02-02T15:23:24Z,2025-10-09T17:56:41Z,https://github.com/mingrammer/diagrams
apachecn/ailearning,ailearning,apachecn,41534,11592,Python,2017-02-25T08:53:02Z,2025-10-09T13:25:26Z,https://github.com/apachecn/ailearning
hpcaitech/ColossalAI,ColossalAI,hpcaitech,41200,4534,Python,2021-10-28T16:19:44Z,2025-10-09T19:14:59Z,https://github.com/hpcaitech/ColossalAI
zai-org/ChatGLM-6B,ChatGLM-6B,zai-org,41132,5210,Python,2023-03-13T12:00:18Z,2025-10-09T16:34:08Z,https://github.com/zai-org/ChatGLM-6B
docling-project/docling,docling,docling-project,41032,2891,Python,2024-07-09T07:50:26Z,2025-10-09T21:49:28Z,https://github.com/docling-project/docling
psf/black,black,psf,41025,2635,Python,2018-03-14T19:54:45Z,2025-10-09T22:02:04Z,https://github.com/psf/black
mem0ai/mem0,mem0,mem0ai,40983,4355,Python,2023-06-20T08:58:36Z,2025-10-09T22:05:43Z,https://github.com/mem0ai/mem0
